Tire,Weight,Acceleration,On-Road Traction,Off-Road Traction,Mini-Turbo,Ground Speed,Water Speed,Anti-Gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-Gravity Handling,Air Handling
Standard,2,4,2,5,3,2,3,2,3,3,3,3,3
Monster,4,2,3,7,2,2,2,2,1,0,1,0,1
Roller,0,6,0,4,6,0,3,0,3,4,4,4,4
Slim,2,2,4,1,2,3,2,4,2,4,4,3,4
Slick,3,1,4,0,0,4,0,4,0,2,0,2,1
Metal,4,0,1,2,0,4,3,1,2,2,2,1,0
Button,0,5,1,3,5,1,2,2,2,3,3,4,2
Off-Road,3,3,3,6,1,3,4,2,1,1,1,2,2
Sponge,1,4,2,6,4,1,1,1,4,2,1,2,3
Wood,2,2,4,1,2,3,2,4,2,4,4,3,4
Cushion,1,4,2,6,4,1,1,1,4,2,1,2,3
Blue Standard,2,4,2,5,3,2,3,2,3,3,3,3,3
Hot Monster,4,2,3,7,2,2,2,2,1,0,1,0,1
Azure Roller,0,6,0,4,6,0,3,0,3,4,4,4,4
Crimson Slim,2,2,4,1,2,3,2,4,2,4,4,3,4
Cyber Slick,3,1,4,0,0,4,0,4,0,2,0,2,1
Retro Off-Road,3,3,3,6,1,3,4,2,1,1,1,2,2
Gold Tires,4,0,1,2,0,4,3,1,2,2,2,1,0
GLA Tires,2,4,2,5,3,2,3,2,3,3,3,3,3
Triforce Tires,3,3,3,6,1,3,4,2,1,1,1,2,2
Leaf Tires,0,5,1,3,5,1,2,2,2,3,3,4,2